task_name,window_index,ctx_used,horizon,radius,kept_mass_frac_ctxQ,dropped_mass_frac_ctxQ,kept_edges_frac_ctxQ,S_tokens,ctx_tokens,future_tokens,q_sel_ctx_queries,exclude_reg_query,probe_weight_sum
monash_m3_monthly,0,48,18,128,0.6666666666666664,0.3333333333333336,0.6666666666666664,6,4,2,4,False,1024.0
monash_m3_quarterly,0,16,8,2,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_quarterly,0,16,8,4,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_quarterly,0,16,8,8,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_quarterly,0,16,8,16,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_quarterly,0,16,8,32,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_quarterly,0,16,8,64,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_quarterly,0,16,8,128,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_yearly,0,14,6,2,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_yearly,0,14,6,4,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_yearly,0,14,6,8,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_yearly,0,14,6,16,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_yearly,0,14,6,32,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_yearly,0,14,6,64,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_m3_yearly,0,14,6,128,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
monash_nn5_weekly,0,105,8,2,0.47222222222222193,0.5277777777777781,0.47222222222222193,9,8,1,8,False,888.0
monash_nn5_weekly,0,105,8,4,0.7222222222222219,0.2777777777777781,0.7222222222222219,9,8,1,8,False,888.0
monash_nn5_weekly,0,105,8,8,0.8888888888888892,0.11111111111111083,0.8888888888888892,9,8,1,8,False,888.0
monash_nn5_weekly,0,105,8,16,0.8888888888888892,0.11111111111111083,0.8888888888888892,9,8,1,8,False,888.0
